ï»¿Time,Time Code,Country Name,Country Code,GDP per unit of energy use (PPP $ per kg of oil equivalent) [EG.GDP.PUSE.KO.PP],GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent) [EG.GDP.PUSE.KO.PP.KD],"Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]",Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS],"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP) [EG.USE.COMM.GD.PP.KD]",Combustible renewables and waste (% of total energy) [EG.USE.CRNW.ZS],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],Pump price for diesel fuel (US$ per liter) [EP.PMP.DESL.CD],Pump price for gasoline (US$ per liter) [EP.PMP.SGAS.CD],Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Fuel exports (% of merchandise exports) [TX.VAL.FUEL.ZS.UN],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS]
2006,YR2006,Lithuania,LTU,6.278759587,7.480154377,58.34514944,26.83202218,133.6870805,10.24741727,2666.013336,1.09,1.08,0,23.52785459,0.241857955
2006,YR2006,Luxembourg,LUX,8.446431282,9.894410721,97.26548033,0.38415339,101.0671609,2.227752339,9157.596633,1.14,1.29,0,0.764012057,0
2006,YR2006,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,0,0,0
2006,YR2006,"Macedonia, FYR",MKD,6.413668497,6.948339856,44.68925109,5.206927706,143.91927,5.664069313,1428.327627,1.09,1.23,0,9.38452382,0
2006,YR2006,Madagascar,MDG,..,..,..,..,..,..,..,1,1.15,0,5.510389373,0
2006,YR2006,Malawi,MWI,..,..,..,..,..,..,..,1.12,1.17,0,0.139382677,0
2006,YR2006,Malaysia,MYS,6.897819278,7.516030255,-40.81631876,0.827470915,133.0489588,4.679425395,2549.697849,0.4,0.53,9.441028445,13.77756326,8.958017998
2006,YR2006,Maldives,MDV,9.855582969,10.73888091,..,..,93.11957252,..,864.8648649,..,..,0,..,0
2006,YR2006,Mali,MLI,..,..,..,..,..,..,..,1.04,1.22,0,2.253812857,0
2006,YR2006,Malta,MLT,10.83598111,12.63051879,99.85104038,0.077358257,79.17331159,0.071601364,2057.159,1.26,1.38,0,1.344596532,0
2006,YR2006,Marshall Islands,MHL,5.437567392,5.924904581,..,..,168.7790894,..,576.0368664,..,..,0,..,0
2006,YR2006,Mauritania,MRT,..,..,..,..,..,..,..,0.84,0.97,0,..,21.11612686
