"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Djibouti","DJI","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","9.08623","9.36557","9.97213","9.38711","","","","","","","","","11.11248","","","","14.1115999221802","14.5568199157715","","18.8099002838135","20.6023197174072","","","25.1240196228027","","","","","","","",
"Dominica","DMA","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.0859832763672","83.8714294433594","81.8482284545898","","87.7348709106445","89.0650177001953","88.1677169799805","76.9134063720703","","","76.5936737060547","80.1575927734375","78.9356307983398","","","","",
"Denmark","DNK","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","88.04108","87.84094","87.1107","85.1461","83.99273","83.36546","83.63569","84.7149","86.38514","87.17767","87.18818","86.81436","86.60667","87.13433","86.76986","87.33878","","87.98638","","88.6472320556641","89.5270690917969","91.1007766723633","93.976188659668","91.2570266723633","91.6431579589844","89.4445114135742","89.293586730957","89.3507614135742","89.8290634155273","90.1420516967773","91.255126953125","91.1405487060547","91.5970764160156","","",
"Dominican Republic","DOM","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.9418792724609","39.7823181152344","","49.781078338623","","48.8268203735352","51.9062805175781","","60.161548614502","58.6555213928223","61.9715003967285","61.5236511230469","61.2467384338379","62.0928802490234","","","",
"Algeria","DZA","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","8.86302","","","","","","","","","","","","","38.78916","","","","","","","","","","","51.4587","51.5269","50.93778","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (developing only)","EAP","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.5600814819336","53.3414878845215","53.6269950866699","54.0969009399414","54.4631042480469","55.9812316894531","57.4141082763672","58.3089828491211","60.5019416809082","63.9227027893066","66.1707153320313","68.3818893432617","70.8694534301758","73.6503448486328","75.1430587768555","77.1362609863281","","",
"East Asia & Pacific (all income levels)","EAS","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.9167060852051","56.4484100341797","56.540958404541","56.7821807861328","56.9904403686523","58.3371963500977","59.6400337219238","60.4993782043457","62.5718727111816","65.831657409668","68.0016937255859","70.1753921508789","72.5811386108398","75.2123489379883","76.6677703857422","78.5437698364258","","",
"Europe & Central Asia (developing only)","ECA","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.3744735717773","74.0602645874023","74.2402648925781","74.3170928955078","75.3693008422852","77.8952331542969","80.5707473754883","80.0663146972656","81.47412109375","82.1405639648438","83.0113906860352","84.4140930175781","85.5322418212891","85.6246795654297","84.5307159423828","86.1771545410156","87.3164901733398","86.6530380249023","88.92822265625","","",
"Europe & Central Asia (all income levels)","ECS","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.6041030883789","82.4847183227539","82.0592651367188","82.5597534179688","83.62890625","84.7828598022461","85.0075073242188","85.7246551513672","85.3574981689453","85.9050598144531","86.3320465087891","86.5775909423828","87.0212554931641","87.0315704345703","88.3169937133789","88.8270950317383","88.879997253418","90.1193161010742","","",
"Ecuador","ECU","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.13178","48.1540794372559","48.6340484619141","49.2235412597656","50.4066505432129","50.2913398742676","51.0924186706543","53.5819511413574","55.2071685791016","57.016658782959","","","71.3136291503906","72.1840362548828","74.0276031494141","83.4299774169922","","",
"Egypt, Arab Rep.","EGY","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","25.17919","24.85897","27.39786","27.15701","","","","","","","","","","","","","","","","","","","","65.33322","","","","","","","","","","","","","","","","","80.3153228759766","82.4965209960938","85.3928985595703","","",
"Euro area","EMU","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","72.650276184082","73.4142913818359","74.4114685058594","74.7825927734375","75.0545883178711","75.4979858398438","75.3197708129883","75.5255966186523","75.8974304199219","76.1768646240234","76.712158203125","77.849983215332","78.5020751953125","78.7547607421875","79.1668243408203","79.4800033569336","80.8108291625977","82.4714126586914","85.2100601196289","87.8510055541992","87.8770751953125","87.9441070556641","87.4395141601563","85.2472229003906","85.3443450927734","85.8651504516602","86.3178100585938","87.3637390136719","88.0267486572266","88.7700653076172","89.9579544067383","90.2875747680664","89.739501953125","90.2362976074219","90.1504440307617","90.4799575805664","90.1047439575195","90.1831359863281","90.6406555175781","","",
"Eritrea","ERI","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","46.76472","46.17386","53.32174","","59.5005","62.87277","65.82523","67.37113","69.94374","72.94828","73.71009","","","","","","","","","","","","","","","","","","88.1047134399414","89.6827697753906","91.2819213867188","91.6540603637695","91.9876022338867","93.2403793334961","94.334831237793","94.1721801757813","93.8327331542969","93.7964019775391","94.1294784545898","95.0756607055664","95.0016021728516","95.6323471069336","95.9560394287109","","",
